,name,price,href,img_url,additional_name
0,Zunanja brezžična kamera | DIGICAM,44.99,https://vigoshop.si/izdelek/zunanja-brezzicna-kamera-digicam/,https://vigoshop.si/app/uploads/2021/12/DIGICAM_10.12.21_UROS_IMAGE_SQUARE_V1.jpg,Zunanja brezžična kamera | DIGICAM
1,Six Pack komplet za fit postavo,21.99,https://vigoshop.si/izdelek/six-pack-komplet-za-fit-postavo/,https://vigoshop.si/app/uploads/2018/03/Six-Pack-komplet-za-fit-postavo-11-324x324.jpg,Six Pack komplet za fit postavo
2,Akumulatorska ročna žaga BRENCHIE,39.99,https://vigoshop.si/izdelek/akumulatorska-rocna-zaga-brenchie/,https://vigoshop.si/app/uploads/2023/10/brenchie-header-1-324x324.jpg,Akumulatorska ročna žaga BRENCHIE
3,Električni čistilec zob SMILY,19.99,https://vigoshop.si/izdelek/ultrazvocni-cistilec-zob-smily/,https://vigoshop.si/app/uploads/2021/12/SMILY_10.12.21_UROS_IMAGE_SQUARE_V1-324x324.jpg,Električni čistilec zob SMILY
4,Pametno pokrivalo za vetrobransko steklo | CARCOVER,18.99,https://vigoshop.si/izdelek/pametno-pokrivalo-za-vetrobransko-steklo-2/,https://vigoshop.si/app/uploads/2018/10/Pametno-pokrivalo-za-vetrobransko-steklo-13-324x324.jpg,Pametno pokrivalo za vetrobransko steklo | CARCOVER
5,Leteča vila Ella,17.99,https://vigoshop.si/izdelek/leteca-vila-ella/,https://vigoshop.si/app/uploads/2018/10/Leteča-vila-Ella-7-324x324.jpg,Leteča vila Ella
6,Ultra močan vakuumski čistilec por KilPor 2.0,19.99,https://vigoshop.si/izdelek/ultra-mocan-vakuumski-cistilec-por-kilpor-2-0/,https://vigoshop.si/app/uploads/2021/12/KILPOR_10.12.21_UROS_IMAGE_SQUARE_V1-324x324.jpg,Ultra močan vakuumski čistilec por KilPor 2.0
7,Komplet LED sijalk za žaromete | SILVERLED,20.99,https://vigoshop.si/izdelek/komplet-led-sijalk-za-zaromete-silverled/,https://vigoshop.si/app/uploads/2023/01/SILVERLED_1-324x324.jpg,Komplet LED sijalk za žaromete | SILVERLED
8,Vsestranski vzglavnik FLIPSLEEP,19.99,https://vigoshop.si/izdelek/vsestranski-vzglavnik-flipsleep/,https://vigoshop.si/app/uploads/2021/12/FLIPSLEEP_IMAGE_WHITE_V1.jpg,Vsestranski vzglavnik FLIPSLEEP
9,Kapri hlače za oblikovanje postave Fitness-Leggings,15.99,https://vigoshop.si/izdelek/kapri-hlace-za-oblikovanje-postave-fitness-leggings/,https://vigoshop.si/app/uploads/2018/12/Kapri-hlače-za-oblikovanje-postave-Fitness-Leggings-15-6-324x324.jpg,Kapri hlače za oblikovanje postave Fitness-Leggings
